ID,SchemaVersion,SourceName,SourceURL,Title,Summary,PublishedDate,CollectedAt
20,1.0,TechCrunchAI,https://techcrunch.com/2026/09/11/nscale-adds-former-openai-exec-fidji-simo-to-its-board-ahead-of-potential-ipo/,Nscale adds former OpenAI exec Fidji Simo to its board ahead of potential IPO,The No. 2 exec at OpenAI also led Instacart through its IPO in 2023.,2026-09-11T16:46:25Z,2026-09-11T18:49:20Z
24,1.0,HackerNewsAI,https://www.economist.com/science-and-technology/2026/09/11/top-mathematicians-are-outraged-by-openais-methods,Top mathematicians are outraged by OpenAI's methods,Top mathematicians are outraged by OpenAI's methods,2026-09-11T18:07:08Z,2026-09-11T18:49:37Z
25,1.0,HackerNewsAI,https://terrytao.wordpress.com/2026/09/11/a-severe-misalignment-of-ai-in-mathematics/,A Misalignment of AI in Mathematics,A Misalignment of AI in Mathematics,2026-09-11T17:30:26Z,2026-09-11T18:49:37Z
26,1.0,HackerNewsAI,https://github.com/kennethwolters/litelm,Litelm: LiteLLM Without the Bloat,litellm without the bloat. Contribute to kennethwolters/litelm development by creating an account on GitHub.,2026-09-11T18:10:20Z,2026-09-11T18:49:37Z
27,1.0,HackerNewsAI,https://www.cia.gov/stories/story/cia-releases-presidents-daily-briefs-in-commemoration-of-the-25th-anniversary-of-9-11/seventy-one-declassified-presidents-daily-brief-products/,Declassified 9/11 related President's Daily Brief products,"71 Declassified 9/11 related President's Daily Brief productsSeptember 11, 2026

71 Declassified 9/11 related President's Daily Brief products

September 11, 2026

PDF DownloadsTerrorists seeking WMD capability (1 page)Publication Date: February 13, 1998In Brief - Middle East (1 page)Publication Dat",2026-09-11T18:30:07Z,2026-09-11T18:49:38Z
28,1.0,HackerNewsAI,https://www.getzep.com/careers/,Zep AI (YC W24) Is Hiring a Head of Forward Deployed Engineering,Join the team building the Context Lake for AI agents. Open roles in engineering and applied research.,2026-09-11T17:00:17Z,2026-09-11T18:49:39Z
