ID,SchemaVersion,SourceName,SourceURL,Company,PublishedDate,IsRemote,RoleFamily,CollectedAt
1165,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/mynaric/senior-mechanical-design-engineer-munchen-53977,Mynaric,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1166,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/mynaric/senior-sales-business-development-manager-asia-pacific-munchen-391332,Mynaric,2026-09-11T18:31:39Z,0,Management,2026-09-11T18:31:39Z
1167,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/top-line-advisory/talent-acquisition-manager-at-ai-native-executive-search-berlin-146771,Top Line Advisory,2026-09-11T18:31:39Z,0,AI/ML,2026-09-11T18:31:39Z
1168,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/ottonova/werkstudent-kommunikationsdesign-munchen-240273,Ottonova,2026-09-11T18:31:38Z,0,Product,2026-09-11T18:31:38Z
1169,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/rugamer-steiner-consulting-gmbh/werbetexter-fur-newsletter-mailings-dusseldorf-36068,Rügamer & Steiner Consulting GmbH,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1170,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/rugamer-steiner-consulting-gmbh/marketing-designer-e-mail-content-dusseldorf-154498,Rügamer & Steiner Consulting GmbH,2026-09-11T18:31:39Z,0,Design,2026-09-11T18:31:39Z
1171,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/rugamer-steiner-consulting-gmbh/e-mail-designer-mit-textkompetenz-dusseldorf-225177,Rügamer & Steiner Consulting GmbH,2026-09-11T18:31:39Z,0,Design,2026-09-11T18:31:39Z
1172,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/rugamer-steiner-consulting-gmbh/copywriter-fur-e-mail-marketing-mit-figma-kenntnissen-dusseldorf-359935,Rügamer & Steiner Consulting GmbH,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1173,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-governance-senior-consultant-munchen-459425,Trusteq Gmbh,2026-09-11T18:31:38Z,0,Engineering,2026-09-11T18:31:38Z
1174,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-gts-consultant-frankfurt-am-main-435922,Pertemps ERP,2026-09-11T18:31:39Z,1,Engineering,2026-09-11T18:31:39Z
1175,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/octopus-energy-group/senior-growth-marketing-manager-munchen-de-265327,Octopus Energy Group,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1176,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-berechtigungsmanager-frankfurt-am-main-415276,Pertemps ERP,2026-09-11T18:31:39Z,1,Engineering,2026-09-11T18:31:39Z
1177,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/rugamer-steiner-consulting-gmbh/e-mail-campaign-producer-dusseldorf-76567,Rügamer & Steiner Consulting GmbH,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1178,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/annelie-grube/appiontment-setter-in-vollstandig-remote-bad-lauchstadt-152663,Annelie Grube,2026-09-11T18:31:39Z,1,Engineering,2026-09-11T18:31:39Z
1179,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-ibp-consultant-frankfurt-am-main-378308,Pertemps ERP,2026-09-11T18:31:39Z,1,Engineering,2026-09-11T18:31:39Z
1180,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-abap-developer-stuttgart-62337,Pertemps ERP,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1181,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-re-fx-consultant-frankfurt-am-main-20349,Pertemps ERP,2026-09-11T18:31:39Z,1,Engineering,2026-09-11T18:31:39Z
1182,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/immocloud-gmbh/marketing-manager-newsletter-website-content-dusseldorf-115231,immocloud GmbH,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1183,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/everii-group-gmbh/ui-ux-designer-teambox-hamburg-312888,everii Group GmbH,2026-09-11T18:31:39Z,0,Design,2026-09-11T18:31:39Z
